product,soy,wheat,nuts,fish,eggs
Chicken Deluxe Sandwich,1,1,0,0,1
Chicken Nuggets,0,1,0,0,1
Chicken Salad Sandwich,1,1,0,0,1
Chick-n-Strips,0,1,0,0,1
Grilled Chicken Club Sandwich,0,1,0,0,0
Grilled Chicken Sandwich,0,1,0,0,0
Grilled Nuggets,0,0,0,0,0
Chicken Sandwich,1,1,0,0,1
Spicy Chicken Sandwich,1,1,0,0,1
Spicy Chicken Deluxe Sandwich,1,1,0,0,1
Grilled Chicken Cool Wrap,1,1,0,0,0
Multigrain Oatmeal,0,1,0,0,0
Multigrain Oatmeal with Toppings,0,1,1,0,0
Sausage Biscuit,1,1,0,0,0
"Sausage, Egg & Cheese Biscuit",1,1,0,0,1
Greek Yogurt Parfait,0,0,0,0,0
Hashbrowns,0,0,0,0,0
Cinnamon Cluster,1,1,0,0,1
Bacon Platter,1,1,0,0,1
"Bacon, Egg & Cheese Biscuit",1,1,0,0,1
Biscuit,1,1,0,0,0
Chicken Platter,1,1,0,0,1
Breakfast Burrito,1,1,0,0,1
Chicken Biscuit,1,1,0,0,1
Chick-n-Minis,1,1,0,0,1
Spicy Chicken Biscuit,1,1,0,0,1
Frosted Lemonade,0,0,0,0,0
Diet Frosted Lemonade,0,0,0,0,0
Chocolate Chunk Cookie,1,1,0,0,1
Chocolate Milkshake,0,0,0,0,0
IceDream Cone,1,1,0,0,0
IceDream Cup,0,0,0,0,0
Vanilla Milkshake,0,0,0,0,0
Barbecue Sauce,0,0,0,0,0
Buttermilk Ranch Sauce,0,0,0,0,1
Buffalo Sauce,0,0,0,0,0
Creamy Salsa Dressing,0,0,0,0,1
Garlic & Herb Ranch Dressing,0,0,0,0,1
Honey Roasted BBQ Sauce,0,0,0,0,1
